aX,aY,aZ,gX,gY,gZ
-0.164,-0.001,0.862,90.088,-15.747,31.799
-0.139,0.204,0.804,84.961,-19.775,40.344
-0.113,0.358,0.787,71.655,-20.508,47.241
-0.062,0.477,0.784,53.162,-19.775,52.979
-0.030,0.569,0.802,34.302,-17.151,55.359
-0.024,0.638,0.843,18.921,-15.503,53.528
-0.010,0.659,0.874,8.057,-13.489,51.270
0.021,0.659,0.902,0.610,-11.047,48.401
0.052,0.613,0.931,-5.066,-10.437,42.236
0.042,0.553,0.968,-10.071,-11.047,33.630
0.023,0.480,0.999,-12.817,-11.108,26.306
0.005,0.392,1.018,-14.526,-9.827,21.545
-0.016,0.324,1.041,-14.771,-7.324,17.334
-0.039,0.271,1.053,-12.817,-6.165,12.878
-0.070,0.233,1.060,-8.423,-8.301,9.705
-0.096,0.191,1.077,-3.052,-7.202,9.277
-0.108,0.161,1.087,0.793,-5.249,10.742
-0.091,0.152,1.075,3.540,0.732,13.794
-0.084,0.170,1.059,9.644,4.944,16.418
-0.094,0.201,1.033,17.944,5.310,16.724
-0.086,0.230,1.001,23.499,6.287,16.357
-0.085,0.254,0.977,24.658,6.348,16.296
-0.099,0.271,0.961,21.362,8.789,15.564
-0.098,0.286,0.947,16.846,14.038,15.991
-0.087,0.289,0.933,12.329,17.090,16.724
-0.091,0.292,0.934,10.010,18.799,16.541
-0.093,0.313,0.932,10.620,18.066,14.709
-0.068,0.310,0.917,15.137,15.747,12.573
-0.064,0.299,0.892,18.921,10.559,10.620
-0.065,0.286,0.864,21.667,7.874,8.606
-0.062,0.279,0.825,22.522,7.385,6.531
-0.072,0.293,0.784,20.691,5.798,3.967
-0.077,0.291,0.759,18.005,-0.061,1.282
-0.103,0.267,0.766,12.634,-4.639,-0.427
-0.124,0.252,0.792,5.249,-2.441,0.244
-0.126,0.230,0.825,-0.549,-3.357,2.625
-0.125,0.201,0.886,-5.005,-12.024,6.897
-0.123,0.181,0.936,-8.728,-14.771,11.963
-0.109,0.177,0.982,-7.812,-11.536,16.296
-0.089,0.174,1.020,-2.686,-13.428,19.653
-0.064,0.177,1.032,1.831,-14.221,21.729
-0.053,0.194,1.029,7.812,-9.216,21.667
-0.045,0.218,1.019,11.536,-11.963,20.081
-0.035,0.221,1.001,13.062,-5.310,17.944
-0.055,0.230,0.987,13.184,1.953,15.503
-0.080,0.252,0.961,12.085,8.179,13.245
-0.095,0.261,0.942,11.169,10.681,12.085
-0.091,0.249,0.937,10.742,10.071,12.268
-0.093,0.223,0.931,7.935,2.563,12.634
-0.102,0.193,0.944,6.104,6.226,12.878
-0.121,0.176,0.965,4.822,2.136,13.733
-0.138,0.172,0.990,2.808,1.953,15.991
