aX,aY,aZ,gX,gY,gZ
-0.319,0.434,0.911,12.329,34.058,-104.248
-0.307,0.338,0.905,25.330,32.837,-109.253
-0.279,0.291,0.905,36.133,36.804,-117.615
-0.301,0.206,0.836,45.898,49.377,-129.150
-0.358,0.170,0.833,54.138,56.152,-138.123
-0.449,0.138,0.773,43.518,64.697,-151.184
-0.521,0.101,0.766,32.166,74.036,-167.419
-0.603,0.001,0.733,29.419,73.181,-182.068
-0.674,-0.089,0.763,25.269,60.608,-190.063
-0.777,-0.241,0.664,28.503,43.518,-184.937
-0.749,-0.488,0.668,32.532,40.344,-168.335
-0.705,-0.568,0.729,27.405,27.222,-158.813
-0.661,-0.596,0.798,20.447,-1.465,-144.714
-0.578,-0.613,0.920,16.602,-21.484,-129.089
-0.486,-0.628,1.012,19.897,-26.550,-119.690
-0.444,-0.649,1.060,20.386,-17.822,-115.601
-0.432,-0.715,1.172,15.869,-1.160,-111.633
-0.431,-0.753,1.109,12.207,9.644,-111.389
-0.498,-0.824,1.077,4.761,11.719,-116.638
-0.567,-0.845,1.040,5.981,6.714,-117.371
-0.589,-0.836,0.968,9.399,-4.150,-103.821
-0.567,-0.785,0.972,5.981,-19.348,-78.125
-0.495,-0.717,0.999,4.639,-32.959,-58.289
-0.444,-0.657,1.048,2.747,-40.894,-46.570
-0.387,-0.626,1.082,-1.831,-41.626,-36.133
-0.364,-0.571,1.103,-5.432,-41.016,-23.621
-0.284,-0.530,1.104,-10.254,-41.321,-6.165
-0.269,-0.499,0.972,-19.287,-42.847,7.324
-0.203,-0.429,1.096,-42.419,-39.551,15.198
-0.157,-0.450,0.968,-39.124,-39.734,14.771
-0.146,-0.418,0.905,-46.021,-47.180,10.681
-0.128,-0.443,0.826,-44.556,-55.969,8.362
-0.115,-0.416,0.790,-43.945,-61.096,9.521
-0.104,-0.413,0.784,-40.771,-64.148,11.230
-0.070,-0.405,0.806,-38.025,-64.453,17.273
-0.060,-0.411,0.843,-36.316,-62.805,26.306
-0.041,-0.416,0.872,-33.752,-59.937,36.194
0.003,-0.428,0.896,-30.396,-56.152,47.729
0.061,-0.428,0.916,-23.621,-54.688,59.204
0.125,-0.448,0.917,-14.282,-54.016,70.618
0.173,-0.474,0.929,-6.531,-52.063,80.994
0.190,-0.506,0.936,-1.648,-47.241,91.736
0.198,-0.521,0.967,1.038,-42.603,104.065
0.207,-0.506,0.972,2.991,-40.833,117.065
0.243,-0.492,0.950,2.014,-40.527,127.625
0.234,-0.504,1.012,-6.958,-39.978,136.353
0.314,-0.412,1.121,-11.292,-39.795,142.761
0.364,-0.343,1.150,-3.540,-39.490,143.188
0.393,-0.300,1.169,-3.967,-33.020,141.846
0.405,-0.274,1.175,-8.118,-22.156,141.846
-0.655,0.931,1.173,7.935,78.613,-94.910
-0.655,0.986,1.249,5.615,78.003,-117.065
-0.614,0.944,1.218,6.653,84.045,-140.137
-0.688,0.886,1.202,-3.235,90.027,-160.583
-0.668,0.797,1.093,-9.827,92.590,-170.959
-0.743,0.660,1.011,-16.113,94.421,-175.598
-0.796,0.485,0.929,-19.958,95.520,-178.955
-0.871,0.297,0.823,-16.602,86.731,-181.335
-0.893,0.176,0.750,-7.812,69.824,-185.242
-0.867,0.110,0.729,5.310,51.941,-191.101
-0.793,0.047,0.736,17.700,33.081,-196.777
-0.724,0.058,0.810,28.015,23.376,-206.482
-0.656,0.027,0.831,43.335,26.184,-211.182
-0.567,-0.111,0.943,44.495,44.250,-200.928
-0.514,-0.235,0.964,29.846,53.650,-201.904
-0.551,-0.286,1.021,8.484,51.453,-209.839
-0.620,-0.390,1.022,-11.963,54.504,-212.830
-0.694,-0.501,0.942,-20.996,56.702,-205.200
-0.727,-0.617,0.904,-32.654,56.519,-198.181
-0.781,-0.775,0.822,-32.593,44.312,-188.965
-0.772,-0.889,0.736,-31.494,20.813,-169.250
