aX,aY,aZ,gX,gY,gZ
0.915,0.093,-0.030,41.199,-51.880,-4.822
0.836,0.119,-0.064,38.513,-53.650,0.610
0.758,0.130,-0.096,36.011,-57.495,2.686
0.699,0.150,-0.125,33.630,-63.660,2.502
0.640,0.183,-0.162,32.471,-71.106,2.075
0.585,0.212,-0.187,32.532,-80.444,0.610
0.559,0.212,-0.183,33.813,-92.163,-3.296
0.540,0.214,-0.157,36.682,-104.858,-6.592
0.517,0.209,-0.140,40.100,-114.624,-8.118
0.500,0.196,-0.120,42.908,-118.286,-8.850
0.479,0.198,-0.117,47.424,-117.920,-8.850
0.451,0.210,-0.126,53.955,-118.042,-7.690
0.420,0.211,-0.116,61.157,-121.460,-7.141
0.387,0.195,-0.064,67.993,-127.502,-7.996
0.338,0.168,-0.001,77.271,-135.193,-9.827
0.267,0.135,0.075,85.022,-146.606,-11.475
0.205,0.136,0.147,86.487,-162.964,-13.855
0.163,0.147,0.184,82.397,-185.425,-18.066
0.104,0.145,0.165,73.547,-212.280,-23.987
0.047,0.132,0.109,59.998,-235.840,-30.640
0.009,0.124,0.053,50.232,-245.605,-36.194
0.006,0.092,0.039,57.190,-240.845,-36.499
0.020,0.099,0.087,82.031,-226.746,-33.813
0.032,0.074,0.163,124.695,-209.106,-34.119
0.040,0.014,0.265,164.368,-195.618,-31.128
0.066,-0.024,0.391,191.040,-192.139,-27.222
0.091,-0.054,0.503,211.182,-202.209,-26.306
0.128,-0.103,0.584,222.717,-223.694,-27.527
0.155,-0.167,0.649,222.534,-251.343,-27.161
0.077,-0.305,0.707,221.863,-275.146,-26.428
-0.165,-0.575,0.828,222.961,-289.673,-26.489
-0.311,-0.721,0.986,217.651,-291.565,-30.823
-0.321,-0.792,1.152,215.820,-280.457,-38.391
-0.298,-0.838,1.312,223.755,-256.226,-47.058
-0.246,-0.867,1.450,234.070,-218.201,-56.335
-0.162,-0.894,1.535,240.906,-168.823,-59.509
-0.059,-0.841,1.618,236.816,-119.263,-54.199
-0.024,-0.906,1.652,236.572,-81.543,-48.218
0.006,-0.961,1.681,231.628,-57.434,-41.626
-0.023,-1.098,1.691,225.037,-47.913,-36.194
-0.063,-1.179,1.760,206.787,-49.072,-30.701
-0.133,-1.317,1.834,184.753,-50.720,-29.663
-0.048,-1.335,1.869,159.058,-46.936,-30.640
0.047,-1.244,1.891,118.835,-39.001,-27.283
0.092,-1.219,1.822,90.332,-27.649,-27.161
0.109,-1.202,1.728,65.430,-16.296,-30.579
0.146,-1.214,1.640,45.837,-9.094,-34.302
0.183,-1.204,1.564,30.884,-6.897,-35.889
0.227,-1.146,1.492,18.433,-7.812,-32.043
0.277,-1.081,1.408,4.761,-8.179,-26.428
0.319,-1.056,1.307,-7.080,-7.324,-22.583
0.336,-1.050,1.207,-15.015,-6.042,-18.616
0.348,-1.026,1.131,-19.592,-4.150,-12.268
0.347,-0.970,1.074,-23.865,-3.174,-5.615
0.328,-0.929,1.030,-26.550,-2.563,-0.305
0.316,-0.883,0.983,-27.954,-0.488,4.700
0.300,-0.848,0.937,-30.090,1.160,9.094
0.305,-0.597,1.687,-43.213,-52.246,76.355
0.301,-0.639,1.768,-46.875,-61.584,67.871
0.305,-0.616,1.791,-52.246,-75.073,58.472
0.290,-0.550,1.802,-63.782,-93.445,46.509
0.286,-0.534,1.771,-75.378,-111.084,30.151
0.293,-0.475,1.758,-91.064,-122.559,14.771
0.290,-0.519,1.694,-99.548,-124.756,-1.648
0.296,-0.555,1.659,-113.220,-120.605,-12.329
0.244,-0.612,1.622,-128.235,-113.403,-18.250
0.192,-0.651,1.626,-141.968,-103.577,-19.836
0.179,-0.712,1.663,-158.264,-93.689,-21.240
0.170,-0.754,1.682,-173.401,-88.074,-22.278
0.146,-0.737,1.679,-190.125,-85.999,-22.034
0.159,-0.856,1.785,-214.417,-83.313,-22.827
0.206,-0.624,1.632,-264.282,-73.181,-23.010
0.157,-0.640,1.344,-259.521,-72.510,-27.100
0.224,-0.608,1.484,-256.775,-92.896,-32.959
0.221,-0.548,1.245,-272.888,-108.337,-36.926
0.166,-0.469,1.150,-281.921,-124.878,-37.720
0.051,-0.398,0.962,-296.082,-130.310,-34.668
-0.057,-0.340,0.734,-299.744,-118.591,-31.921
-0.113,-0.249,0.520,-292.969,-99.976,-26.001
-0.153,-0.164,0.370,-278.137,-84.656,-17.700
-0.203,-0.080,0.273,-263.672,-77.942,-7.568
-0.284,0.012,0.183,-247.131,-74.890,3.174
-0.335,0.073,0.135,-229.980,-73.181,12.695
-0.369,0.099,0.129,-213.379,-72.083,18.860
-0.406,0.119,0.123,-199.097,-70.801,23.315
-0.432,0.132,0.119,-185.974,-68.848,26.184
-0.455,0.155,0.100,-174.866,-64.453,27.832
-0.512,0.180,0.032,-167.664,-57.251,28.564
-0.570,0.189,-0.046,-161.011,-48.889,26.917
-0.623,0.190,-0.121,-149.963,-40.039,24.902
-0.625,0.200,-0.162,-136.414,-31.433,24.170
-0.589,0.211,-0.158,-123.169,-25.330,24.963
-0.611,0.250,-0.143,-113.525,-19.897,27.649
-0.651,0.282,-0.198,-105.835,-11.902,29.541
-0.660,0.306,-0.227,-92.041,-6.165,27.954
-0.675,0.328,-0.175,-81.543,-5.554,23.987
-0.663,0.347,-0.137,-72.571,-3.174,19.836
-0.646,0.354,-0.109,-61.768,-1.404,16.541
-0.640,0.405,-0.076,-55.176,-3.601,15.259
-0.617,0.480,-0.047,-50.964,-6.470,14.160
-0.564,0.534,-0.028,-45.776,-7.019,9.094
-0.501,0.579,-0.039,-44.189,-7.019,0.854
